Player,Team,Pos,GP,W%,CTR%,K,D,A,KDA,KP,KS%,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,EGPM,GOLD%,WPM,WCPM,MVP
Cody Sun,100 Thieves,ADC,20.00,0.55,0.40,64.00,35.00,93.00,4.50,0.68,0.28,0.15,0.10,-19.00,52.00,-2.00,8.90,0.31,480.00,0.27,281.00,0.27,0.43,0.30,0
CoreJJ,Team Liquid,Support,18.00,0.39,0.50,2.00,26.00,120.00,4.70,0.74,0.01,0.17,0.17,-9.00,123.00,1.60,1.10,0.03,108.00,0.06,89.00,0.09,1.30,0.33,0
Crown,Counter Logic Gaming,Middle,8.00,0.13,0.25,21.00,26.00,23.00,1.70,0.65,0.31,0.24,0.13,-110.00,-111.00,-0.80,7.50,0.22,365.00,0.25,215.00,0.23,0.50,0.22,0
Dardoch,TSM,Jungle,18.00,0.50,0.39,33.00,54.00,115.00,2.70,0.71,0.16,0.31,0.67,31.00,-163.00,-2.80,4.40,0.13,212.00,0.13,155.00,0.16,0.52,0.39,0
Doublelift,Team Liquid,ADC,15.00,0.33,0.60,45.00,28.00,47.00,3.30,0.68,0.33,0.20,0.13,134.00,132.00,4.60,10.20,0.35,423.00,0.26,303.00,0.29,0.36,0.35,0
Eika,Immortals,Middle,19.00,0.42,0.53,45.00,34.00,62.00,3.10,0.65,0.27,0.17,0.16,-72.00,-78.00,-2.20,8.60,0.29,409.00,0.27,248.00,0.26,0.50,0.23,0
FBI,Golden Guardians,ADC,19.00,0.47,0.32,43.00,26.00,64.00,4.10,0.64,0.26,0.11,0.21,121.00,82.00,9.60,9.50,0.33,525.00,0.31,281.00,0.27,0.38,0.33,0
Froggen,Dignitas,Middle,20.00,0.45,0.50,54.00,30.00,89.00,4.80,0.74,0.28,0.14,0.20,-58.00,33.00,1.20,8.50,0.25,533.00,0.30,247.00,0.24,0.48,0.24,0
Goldenglue,Golden Guardians,Middle,19.00,0.47,0.63,42.00,45.00,68.00,2.40,0.66,0.25,0.19,0.11,-12.00,-50.00,0.40,8.00,0.24,456.00,0.27,237.00,0.23,0.59,0.23,0
Griffin,Counter Logic Gaming,Jungle,18.00,0.17,0.61,31.00,57.00,102.00,2.30,0.75,0.18,0.22,0.44,16.00,156.00,5.20,5.30,0.16,215.00,0.14,172.00,0.18,0.54,0.34,0
