"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","EGPM","GOLD%","WPM","WCPM"
"Mickey","Team Liquid","Middle",6,"33%",,18,14,38,4,"64.4%","20.7%","16.5%","17%",25,32,0.5,9.9,"35.0%",569,"29.9%",294,"26.3%",0.58,0.18
"MikeYeung","Phoenix1","Jungle",36,"36%",,118,98,199,3.2,"74.8%","27.8%","20.8%","50%",-9,-23,-3.9,4.4,"13.9%",288,"15.5%",208,"18.9%",0.74,0.22
"Nisqy","Team EnVyUs","Middle",26,"42%",,85,55,113,3.6,"67.3%","28.9%","19.2%","27%",-21,-87,-2.3,9,"26.5%",523,"28.4%",272,"23.3%",0.44,0.19
"Olleh","Immortals","Support",45,"67%",,57,123,386,3.6,"67.4%","8.7%","23.5%","27%",53,-44,1.3,1.1,"4.3%",247,"12.0%",153,"12.5%",1.45,0.48
"OmarGod","Counter Logic Gaming","Jungle",14,"50%",,28,37,118,3.9,"71.2%","13.7%","21.9%","43%",84,88,6.4,3.9,"11.2%",244,"11.8%",197,"16.7%",0.7,0.29
"Piglet","Team Liquid","ADC",44,"30%",,157,94,171,3.5,"69.6%","33.3%","17.5%","18%",78,93,-0.2,8.8,"29.6%",543,"29.8%",270,"25.5%",0.46,0.28
"Pirean","Phoenix1","Middle",7,"14%",,17,22,23,1.8,"78.4%","33.3%","17.9%","14%",-285,-234,-8.7,8.9,"32.2%",554,"32.6%",248,"26.4%",0.28,0.31
"Pirean","Team EnVyUs","Middle",21,"48%",,61,40,91,3.8,"66.4%","26.6%","16.6%","10%",-156,-112,-3.3,9.2,"28.0%",523,"27.6%",268,"23.4%",0.26,0.32
"Pobelter","Immortals","Middle",45,"67%",,187,90,268,5.1,"69.3%","28.5%","17.2%","20%",10,-67,0.6,8.9,"26.9%",583,"28.0%",292,"24.0%",0.43,0.22
"Reignover","Team Liquid","Jungle",31,"35%",,66,81,157,2.8,"69.5%","20.6%","22.9%","52%",129,81,3,4.4,"12.9%",265,"15.1%",190,"18.0%",1,0.31
"Rey","Cloud9","Top",14,"50%",,24,39,90,2.9,"64.0%","13.5%","23.8%","7%",-83,-16,-11,8,"26.6%",419,"21.8%",245,"21.2%",0.59,0.15
"Ryu","Phoenix1","Middle",39,"36%",,135,96,177,3.3,"68.3%","29.5%","19.9%","26%",-28,31,-3.6,8.4,"28.0%",522,"28.4%",259,"24.3%",0.41,0.27
"Seraph","Team EnVyUs","Top",47,"45%",,84,145,252,2.3,"64.2%","16.1%","27.5%","28%",-150,-203,-2.4,8.5,"25.6%",387,"21.1%",246,"21.3%",0.61,0.19
"Shady","Phoenix1","Support",13,"23%",,15,27,79,3.5,"76.4%","12.2%","15.4%","23%",44,112,2.8,0.8,"3.0%",165,"9.8%",112,"10.9%",1.56,0.35
"Shrimp","Dignitas","Jungle",45,"56%",,94,126,276,2.9,"74.9%","19.0%","23.7%","24%",-28,-2,0.2,4.2,"13.0%",247,"13.4%",202,"17.7%",0.8,0.33
"Slooshi","Team Liquid","Middle",8,"25%",,25,18,31,3.1,"70.0%","31.3%","22.0%","38%",-298,-252,-14,8.2,"25.7%",440,"26.3%",242,"23.4%",0.56,0.16
"Smoothie","Cloud9","Support",45,"62%",,39,96,451,5.1,"77.3%","6.2%","20.4%","20%",-103,-37,0,0.7,"2.2%",126,"6.4%",136,"11.2%",1.44,0.3
"Sneaky","Cloud9","ADC",45,"62%",,146,88,296,5,"69.7%","23.0%","18.7%","20%",-19,14,-0.8,8.8,"28.6%",521,"26.0%",288,"24.0%",0.42,0.35
"Ssumday","Dignitas","Top",51,"57%",,119,104,277,3.8,"69.6%","20.9%","17.6%","16%",-60,-1,-0.4,8.5,"28.5%",410,"22.4%",258,"22.7%",0.52,0.19
"Stixxay","Counter Logic Gaming","ADC",46,"59%",,181,83,289,5.7,"67.3%","25.9%","14.8%","22%",-54,11,0.8,8.7,"29.4%",508,"25.6%",282,"24.0%",0.43,0.32
"Svenskeren","TSM","Jungle",41,"73%",,106,127,303,3.2,"70.4%","18.2%","26.5%","34%",-122,-145,-1.3,4,"11.6%",290,"13.4%",207,"17.2%",0.89,0.3
"WildTurtle","FlyQuest","ADC",44,"39%",,139,123,179,2.6,"64.1%","28.0%","17.4%","14%",-110,-87,-3.5,9.2,"30.5%",524,"26.3%",273,"24.9%",0.38,0.23
"Xmithie","Immortals","Jungle",45,"67%",,104,129,334,3.4,"66.7%","15.8%","24.7%","56%",67,28,-1.7,4.1,"12.3%",282,"13.8%",213,"17.6%",0.88,0.3
"Xpecial","Phoenix1","Support",33,"36%",,13,96,257,2.8,"70.1%","3.4%","22.3%","21%",6,97,5.7,1.4,"5.2%",117,"6.4%",134,"12.0%",1.37,0.32
"zig","Phoenix1","Top",45,"33%",,70,134,230,2.2,"59.4%","13.9%","22.9%","20%",-17,64,1.4,7.9,"25.1%",380,"21.3%",227,"21.3%",0.61,0.13
