"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","EGPM","GOLD%","WPM","WCPM"
"Froggen","Golden Guardians","Middle",19,"42%","68%",59,44,97,3.5,"73.9%","28.0%","17.4%","16%",159,151,5.3,8.5,"24.6%",560,"28.1%",265,"24.0%",0.49,0.28
"Griffin","Counter Logic Gaming","Jungle",19,"63%","63%",42,39,117,4.1,"74.0%","19.5%","21.0%","37%",76,44,0.5,4.8,"12.0%",215,"11.6%",190,"16.4%",0.77,0.46
"Hakuho","Echo Fox","Support",18,"22%","72%",15,41,107,3,"74.4%","9.1%","15.5%","6%",-149,-32,-0.9,1.4,"5.6%",206,"11.4%",116,"10.7%",1.39,0.33
"Hauntzer","Golden Guardians","Top",19,"42%","37%",38,43,75,2.6,"53.6%","18.0%","17.0%","0%",96,39,5.1,8.7,"27.3%",445,"22.9%",269,"24.3%",0.51,0.25
"huhi","Golden Guardians","Support",11,"36%","9%",9,36,87,2.7,"83.5%","7.8%","23.4%","36%",-75,-17,2.5,1.8,"6.5%",162,"8.0%",117,"10.7%",1.39,0.29
"Huni","Clutch Gaming","Top",18,"50%","56%",49,42,82,3.1,"67.5%","25.3%","22.5%","33%",125,127,3.1,8.1,"25.2%",504,"30.0%",254,"22.8%",0.33,0.19
"Impact","Team Liquid","Top",18,"78%","39%",57,36,110,4.6,"66.8%","22.8%","22.8%","17%",174,117,4.1,7.9,"23.8%",537,"27.7%",273,"22.3%",0.47,0.13
"JayJ","FlyQuest","Support",6,"17%","67%",3,20,27,1.5,"71.4%","7.1%","28.2%","17%",-42,-209,-1.7,1,"3.6%",144,"10.5%",91,"9.0%",1.45,0.24
"Jensen","Team Liquid","Middle",18,"78%","56%",65,29,83,5.1,"59.2%","26.0%","18.4%","6%",-133,44,1.6,9.1,"27.5%",446,"23.2%",282,"23.4%",0.38,0.19
"Kumo","Cloud9","Top",4,"75%","50%",18,10,23,4.1,"62.1%","27.3%","24.4%","50%",-155,-279,-12,7.1,"25.5%",599,"26.1%",260,"23.3%",0.49,0.17
"Licorice","Cloud9","Top",15,"67%","60%",46,30,82,4.3,"58.7%","21.1%","20.8%","13%",31,-158,-1.9,8.5,"27.1%",408,"22.0%",273,"22.9%",0.52,0.17
